THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
662,737,704,15128,-5300,2544,1
662,737,704,15228,-5472,3356,1
662,738,705,15032,-6220,4368,1
662,737,705,15156,-5820,5436,1
662,737,704,14580,-5080,6492,1
662,737,705,14376,-3624,6392,1
662,737,704,15016,-1584,7052,1
662,737,704,14780,100,6828,1
662,737,704,14896,888,6792,1
662,737,704,15756,792,6340,1
662,737,703,15272,52,6340,1
662,737,705,15916,-820,5136,1
662,737,704,16084,-1972,5644,1
662,737,704,16220,-2400,4444,1
662,737,704,15576,-3476,5044,1
662,737,704,15484,-3336,5316,1
662,738,704,14864,-3632,5468,1
662,737,704,14560,-3932,5964,1
662,738,705,14732,-3624,6620,1
662,737,704,14456,-3236,7064,1
662,738,704,14496,-2964,7024,1
662,737,704,14116,-3256,7816,1
662,738,704,14304,-3992,7944,1
662,737,705,13920,-3328,7516,1
662,738,705,14044,-3868,8064,1
662,738,705,14244,-3424,8044,1
662,737,705,14724,-4956,6448,1
662,737,704,14872,-5380,4748,1
662,738,704,14924,-5832,4156,1
662,738,704,15160,-1896,5760,1
662,738,704,14892,184,6816,1
662,737,697,13520,4372,8316,1
661,737,697,13936,6480,7012,1
662,737,700,13620,6580,6692,1
662,737,701,13884,5588,6564,1
661,737,702,14200,2836,7424,1
661,737,706,14412,-720,7480,1
661,738,704,15308,-2748,6808,1
661,737,701,14460,4292,6376,1
661,737,702,13748,5712,6296,1
661,737,702,14048,5840,7684,1
661,737,702,12808,5804,8180,1
661,737,702,12180,5544,9308,1
661,737,698,9576,10400,7936,1
661,737,690,7656,11492,7992,1
660,737,678,4472,13424,8184,1
660,737,681,3020,14656,6684,1
661,737,688,3292,14432,5856,1
661,738,691,4072,14084,5748,1
660,737,694,4532,14560,6092,1
661,737,696,5304,11560,10072,1
660,737,701,6076,5420,13644,1
661,737,709,9460,1324,11812,1
662,737,716,11776,-3428,11300,1
662,737,714,13424,-4272,6636,1
662,737,710,14216,-6036,7380,1
662,737,708,14564,-6752,5348,1
662,738,707,14396,-6328,4416,1
662,737,707,14884,-5756,4300,1
662,738,706,14504,-5624,4460,1
662,738,706,15352,-4592,3840,1
662,738,705,15336,-4428,4464,1
662,738,705,15224,-3636,3952,1
662,738,705,15360,-4104,4956,1
662,738,704,15448,-4644,5840,1
661,738,704,15012,-4216,5600,1
662,738,704,15080,-3344,6744,1
661,738,704,14808,-3240,6776,1
662,738,704,14924,-2880,7896,1
661,738,704,14228,-2332,7896,1
661,738,704,14588,-2772,8280,1
661,738,704,13528,-2932,8784,1
661,738,704,13264,-4124,9364,1
661,738,704,12816,-3832,9744,1
661,738,704,12876,-2460,10296,1
661,738,704,13204,-504,10108,1
661,738,704,13324,196,9656,1
661,738,704,13136,-772,9936,1
661,738,704,12672,-716,9792,1
661,738,704,12968,-1072,9856,1
661,737,703,12912,-1012,9052,1
661,737,703,13780,-632,9804,1
661,737,703,12892,1768,9732,1
661,737,702,11976,3848,9800,1
661,737,700,11596,5832,9708,1
661,737,701,11344,7560,9336,1
661,738,702,10868,9220,8580,1
661,737,702,10820,9252,7840,1
661,738,702,9312,12192,6356,1
661,738,704,9192,11140,7484,1
661,738,705,9164,9344,9240,1
661,738,705,9952,5828,11616,1
661,738,704,9920,3340,12580,1
661,739,705,8624,-780,13692,1
661,739,708,6888,-3412,13096,1
661,739,707,8964,-6800,11900,1
661,739,704,12800,-5284,8496,1
661,739,704,14544,-3828,4804,1
661,739,704,15528,-4620,4664,1
661,739,703,15716,-4356,4704,1
660,739,703,14176,-4596,7072,1
661,739,704,13836,-4760,7560,1
660,739,704,13536,-4572,8768,1
661,739,704,13688,-4172,8260,1
661,739,704,13448,-3672,8528,1
661,739,704,13600,-3480,8376,1
660,739,705,13692,-3592,8288,1
655,798,741,4808,7208,-15368,2
655,798,744,4964,7204,-15408,2
655,798,744,4784,7292,-15336,2
655,798,744,4940,7364,-15456,2
656,798,745,4860,7204,-15388,2
656,797,745,5076,7280,-15480,2
655,798,746,4556,7424,-15500,2
655,798,747,4824,7352,-15444,2
655,798,746,4768,7260,-15392,2
655,798,746,5080,7092,-15228,2
655,798,747,4892,6880,-15476,2
655,798,747,5048,7068,-15508,2
655,798,747,4928,7012,-15636,2
655,798,747,4932,6692,-15704,2
655,797,747,4956,6856,-15320,2
655,797,747,4680,6912,-15796,2
655,796,747,4884,6672,-15796,2
655,797,745,4964,6224,-15580,2
655,796,745,5340,6500,-15860,2
655,797,745,5248,6180,-15764,2
655,796,746,5276,6424,-15592,2
655,796,746,5216,6028,-15464,2
655,797,747,5584,6228,-15772,2
655,796,746,5304,6584,-15732,2
655,797,746,5276,5752,-15572,2
655,797,747,5116,7144,-15724,2
655,796,746,5164,6640,-15524,2
656,796,746,5608,6648,-15728,2
655,796,746,5572,6628,-15240,2
656,796,747,6000,6116,-15608,2
655,797,747,5588,6048,-16400,2
655,796,746,5644,5108,-15844,2
655,797,745,6120,5688,-16616,2
655,797,747,5636,4888,-16204,2
655,797,749,5448,4896,-16428,2
655,797,749,5552,4220,-16160,2
655,797,749,4800,4348,-16648,2
655,797,749,5672,4792,-15852,2
655,797,749,5264,7932,-13636,2
655,796,748,5204,11624,-13348,2
655,795,747,5468,11788,-12452,2
655,795,747,5336,11472,-11796,2
655,795,748,6224,11836,-11340,2
655,795,746,6596,10784,-12240,2
655,795,746,7760,9784,-12408,2
655,795,746,8480,9940,-11952,2
655,795,746,10372,8852,-10736,2
655,795,746,10832,9416,-9148,2
655,794,745,11396,6988,-11140,2
655,794,746,11356,8148,-10168,2
655,794,747,12972,9512,-8260,2
655,794,748,14400,8824,-544,2
656,794,747,14980,6720,3772,2
655,794,749,15024,2728,6752,2
655,795,750,14832,936,6824,2
655,795,751,14828,-1212,7228,2
655,795,751,14700,-3048,7368,2
655,796,749,14856,-3092,6508,2
655,794,748,14560,-3684,6368,2
655,794,748,14520,-3868,7204,2
655,794,747,14264,-3492,7096,2
655,794,748,12804,-3308,8564,2
655,794,747,12604,-3916,9848,2
655,794,746,11696,-1784,11464,2
655,794,745,11044,508,12052,2
655,794,744,11976,3548,10444,2
655,794,745,11992,5756,9200,2
655,794,746,11972,8728,6748,2
655,794,747,10632,11612,3672,2
655,794,744,9816,14152,-2552,2
655,794,743,9176,13528,-5096,2
656,793,742,8908,11924,-7828,2
658,796,753,4236,11468,-13540,2
657,795,761,1040,11188,-13092,2
657,796,757,640,11308,-13144,2
657,796,745,224,11496,-14320,2
657,795,756,308,11216,-12976,2
656,795,758,576,10756,-13660,2
657,795,750,-1724,12664,-11692,2
657,794,754,-1384,13116,-11352,2
657,794,751,-2296,13288,-9720,2
656,794,740,-1376,13652,-10964,2
656,794,741,-576,13236,-10976,2
656,794,745,-932,13096,-10544,2
656,794,745,-1112,13508,-10276,2
656,794,745,-912,13488,-9912,2
656,793,744,-928,13800,-9804,2
656,794,746,-1140,13692,-10772,2
656,793,745,-1708,15236,-9808,2
656,793,746,2516,13272,-8972,2
657,793,747,2732,14196,-10672,2
657,794,746,4644,12556,-10348,2
657,794,745,6036,12112,-11780,2
657,796,746,6096,4244,-14340,2
657,795,747,3424,3084,-15812,2
657,796,749,1492,3104,-17588,2
658,796,748,1616,3668,-16868,2
658,797,748,1560,4332,-17312,2
658,797,748,2092,4272,-16820,2
658,797,748,2612,5656,-17616,2
658,797,748,2532,5372,-16620,2
657,797,749,2468,5416,-16780,2
657,798,749,2824,5044,-16764,2
657,798,749,2608,4048,-17100,2
657,798,750,2504,4072,-17220,2
657,797,750,2236,4160,-16880,2
657,797,750,2740,4572,-16976,2
657,798,749,2368,4328,-16984,2
657,798,749,1888,6056,-16664,2
657,797,749,1680,5312,-15736,2
657,797,748,1472,6656,-16016,2
657,797,750,964,6680,-16468,2
657,797,746,2688,6312,-16372,2
657,796,746,2216,6048,-15952,2
658,798,745,1584,4340,-15700,2
658,799,744,1368,7184,-16912,2
659,799,745,2740,5928,-16480,2
659,799,747,2084,5692,-16536,2
659,799,749,2052,6136,-15932,2
659,798,749,1876,6376,-17108,2
659,798,749,2548,5844,-16476,2
659,797,748,2876,5624,-16872,2
659,798,747,2340,4648,-16440,2
659,798,746,2552,5728,-16216,2
659,797,744,3920,6232,-15956,2
658,796,747,4512,6256,-16316,2
658,796,745,5516,2588,-16064,2
658,796,746,5672,3200,-16956,2
657,796,747,5504,4148,-17264,2
658,796,747,6068,3084,-16424,2
659,796,748,5236,3520,-16488,2
658,796,749,5636,2564,-16976,2
658,795,748,5020,2416,-16952,2
658,795,748,5436,2292,-16704,2
658,795,747,4804,2324,-16716,2
657,795,748,5044,3552,-16788,2
657,794,748,5488,3340,-16520,2
657,795,747,5740,3972,-16572,2
657,795,748,5512,4188,-15924,2
657,794,747,6232,4312,-15964,2
656,794,748,5828,4692,-15872,2
656,794,747,6524,4480,-16100,2
656,794,747,6720,4648,-15756,2
656,794,747,6336,4856,-15908,2
656,794,747,6008,4252,-15808,2
656,794,747,6228,4776,-16096,2
656,794,747,5896,3880,-16116,2
656,794,747,5612,3892,-16900,2
656,794,747,5488,3716,-16508,2
656,794,747,5304,4100,-16464,2
