THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
904,878,898,19224,535,-4551,5
918,914,864,16479,-723,-4881,7
865,881,849,16987,-605,-5421,6
854,916,916,16041,-1793,-3744,2
884,915,868,15025,5008,-7780,4
861,917,918,16451,3179,-1305,2
902,879,899,19223,537,-4551,5
859,918,917,17628,1228,-201,2
855,919,904,16501,2161,-7615,2
870,919,917,8700,-13147,-6383,8
878,799,847,16476,2399,-6480,5
881,806,915,17139,365,-3523,6
869,919,917,7411,-12148,-6036,8
852,910,912,15917,3491,-6343,2
861,918,919,17940,1816,309,2
870,918,917,7691,-13288,-6343,8
879,861,860,16221,2244,-3633,3
862,916,918,16236,2293,-964,2
870,917,918,8143,-11893,-6243,8
903,860,915,17380,789,-3681,6
922,808,829,16051,3681,-4476,1
922,809,829,16052,3680,-4476,1
882,803,916,17989,119,-2229,6
866,919,916,6945,-13205,-6631,8
861,834,839,16639,3892,-7351,3
854,917,904,16841,699,-6643,2
920,915,863,17069,-1417,-5320,7
873,853,860,15016,-5127,-7941,3
868,845,853,16311,2621,-5531,3
867,841,848,16415,2720,-6535,3
919,915,863,16520,-1232,-5380,7
821,833,916,16261,-705,-1929,6
873,850,862,12064,-6821,-4257,3
876,797,841,16232,2705,-5797,5
851,822,855,14628,2177,-4035,5
869,917,916,7255,-12904,-5780,8
863,917,917,16235,2293,-963,2
867,918,916,7255,-12903,-5780,8
871,918,917,8701,-13149,-6383,8
873,853,859,15015,-5128,-7941,3
860,916,919,15752,456,-7181,2
852,917,918,16039,-1793,-3745,2
884,916,870,15024,5008,-7779,4
860,918,919,15751,457,-7179,2
826,820,852,10965,4053,-12739,5
842,819,853,16443,-1124,-5981,5
862,917,918,17255,1836,-2065,2
868,847,858,16229,3613,-5693,3
881,839,916,16601,492,-1960,6
920,810,830,16123,3363,-4135,1
875,917,856,15660,6337,-3879,4
870,917,854,16187,3269,-6128,4
829,834,916,17785,-893,-3469,6
857,916,920,16893,315,-7567,2
867,918,917,7900,-13705,-6812,8
879,820,916,18153,753,-2853,6
902,879,899,19225,535,-4551,5
885,915,869,15023,5009,-7779,4
889,898,886,17788,531,-5012,2
867,916,918,15380,4759,-2781,2
879,862,860,15212,2257,-6768,3
879,862,858,15212,2257,-6768,3
920,810,831,16124,3364,-4135,1
890,917,869,16121,1180,-5165,4
834,836,915,18221,-976,-1623,6
868,918,916,7691,-13289,-6343,8
870,918,917,7411,-12149,-6035,8
889,916,869,16119,1181,-5163,4
922,809,830,15976,3195,-4376,1
865,917,919,15380,4759,-2781,2
867,835,858,16803,1789,-4004,5
