THUMB,INDEX,MIDDLE,G1,G2,G3,LABEL
829,823,824,17616,-3192,-1020,5
832,827,826,15284,-4196,-1860,5
833,828,827,18324,-1592,-3056,5
835,829,827,15404,-4592,-8052,5
836,829,827,12928,-1088,-7028,5
836,829,827,16536,2908,-2568,5
829,828,827,15172,-8420,-1172,5
831,828,827,16852,-3772,3596,5
833,830,831,16768,-1612,3068,5
834,831,830,16224,-5704,-868,5
834,831,830,16004,-3692,-672,5
834,831,831,16096,-4220,172,5
830,833,831,16292,-4040,-920,5
857,833,835,15668,-2460,-3340,5
830,831,829,16304,-4532,292,5
830,831,829,16344,-5256,1968,5
831,831,829,15996,-4884,1068,5
831,831,829,15856,-4516,804,5
831,831,829,16028,-4596,1508,5
832,831,830,15856,-4884,920,5
832,831,829,16560,-5176,-16,5
832,831,829,16556,-4684,-288,5
822,830,830,15944,-2148,544,5
824,831,830,16168,-4012,-388,5
825,831,830,16004,-5072,-824,5
824,831,830,15916,-3576,-312,5
824,831,830,15976,-3728,-1064,5
823,831,830,17128,-7580,-1476,5
824,832,830,15888,-2076,1164,5
825,832,830,15964,-4856,-2900,5
829,831,830,16240,-912,-904,5
829,831,831,15736,-784,-2096,5
829,832,830,15492,-556,-3572,5
826,832,831,15852,-324,-1444,5
832,833,830,14484,-3296,-5712,5
837,836,832,15108,-2124,-4288,5
839,836,832,15884,-1276,-3608,5
839,835,832,14332,-2576,-7924,5
832,836,831,17096,-6344,-1204,5
831,834,830,16548,-4484,5552,5
831,834,830,16028,-2680,4712,5
829,833,831,15624,-2192,3320,5
830,833,831,15964,-3256,2632,5
831,833,831,16760,-2648,4052,5
831,834,831,16228,-3052,3332,5
829,834,831,16708,-3224,4976,5
830,834,831,16660,836,3880,5
834,836,832,16700,-5352,-1048,5
835,837,830,16404,-1448,-6180,5
838,838,831,12508,-2828,-8996,5
840,838,831,12696,-1676,-9396,5
841,838,831,10824,-2140,-9456,5
838,837,831,14804,-5444,-1732,5
833,838,831,15040,-3472,-384,5
828,838,832,15228,-2508,-2084,5
828,838,832,16548,-4460,596,5
829,839,831,15616,-5588,1688,5
829,838,831,16540,-3692,-488,5
830,838,832,17544,-1220,-1828,5
828,837,832,15412,-5752,6276,5
830,837,832,15988,-5780,6236,5
831,837,832,15660,-4436,5644,5
832,837,832,15588,-4608,4704,5
829,833,829,15576,-3944,5412,5
828,832,828,15988,-4628,5460,5
825,829,824,16116,-3440,5316,5
827,830,826,16132,-3684,5464,5
831,834,830,16256,-1480,5476,5
833,835,831,15116,-7244,5176,5
836,839,833,15480,5000,-1540,5
832,833,828,12780,-2564,-8768,5
834,836,830,11804,-340,-10088,5
835,836,830,12280,420,-8576,5
835,836,830,12160,280,-9276,5
834,836,831,13476,-1680,-7660,5
832,835,829,16368,-708,-1064,5
833,834,830,17884,11056,1412,5
831,833,829,17156,-1960,3940,5
833,835,832,17012,7496,5076,5
831,833,828,4420,-1428,-13348,5
835,837,832,1336,-680,-14280,5
